date,rsi14,ema10,vwma20,ema20
2024-01-22,,,,
2024-01-23,,,,
2024-01-24,,,,
2024-01-25,,,,
2024-01-26,,,,
2024-01-29,,,,
2024-01-30,,,,
2024-01-31,,,,
2024-02-01,,,,
2024-02-02,,24.925818891806784,,
2024-02-05,,24.773851820569185,,
2024-02-06,,24.60042421682933,,
2024-02-07,,24.331256177405816,,
2024-02-08,36.575245226134506,24.1855732360593,,
2024-02-09,48.58365424901691,24.215469011321247,,
2024-02-12,58.40849916687014,24.412656463808293,,
2024-02-13,48.18065018800391,24.395809834024966,,
2024-02-14,53.05838977299435,24.480208046020426,,
2024-02-15,57.37890858844231,24.647442946743983,,
2024-02-16,59.32032912713184,24.83154422915417,24.737507934621032,24.700876464927862
2024-02-20,54.394257953067886,24.894899823853407,24.765188728801718,24.746507277791874
2024-02-21,53.39936429299266,24.928554401334605,24.782991482066233,24.778268489430744
2024-02-22,57.5774300335275,25.0469990556374,24.884130152529984,24.85462387138972
2024-02-23,63.37665512796299,25.29299922733969,25.00397169475115,25.001802550304983
2024-02-26,52.609255548636895,25.28699936782338,24.994551671744876,25.02639278360927
2024-02-27,51.13209586033668,25.24936311912822,24.971762770003753,25.03149823278934
2024-02-28,47.61281441908608,25.138569824741268,24.946892888350796,24.9942126868094
2024-02-29,49.154574521131885,25.08064803842467,24.954575908271575,24.977621002351363
2024-03-01,45.844946103374966,24.958712031438363,24.913650046285863,24.92356185927028
2024-03-04,49.42286381822554,24.93167348026775,24.914139004628563,24.91274644410168
2024-03-05,46.84003877995703,24.85318739294634,24.92574853409562,24.873437258949135
2024-03-06,53.508031224609844,24.932607866956094,25.00094920505646,24.913109900953977
2024-03-07,56.274372821939714,25.064860982054988,25.097072894242967,24.984242291339314
2024-03-08,58.01927855105147,25.21670443986317,25.209451451884657,25.07145731121176
2024-03-11,58.6121657194762,25.355485450797136,25.27160507684154,25.157985186334447
2024-03-12,61.33216290215189,25.53630627792493,25.32344874641698,25.271510406683547
2024-03-13,58.96361533479649,25.64606877284767,25.42254611812879,25.354223701285115
2024-03-14,51.16179854368072,25.59587445051173,25.439794744335245,25.355726205924626
2024-03-15,52.98874873377923,25.59298818678232,25.454614369032296,25.377085614884184
2024-03-18,51.69942638574133,25.56699033464008,25.447402701482897,25.38402984203807
2024-03-19,56.36136164129507,25.642083001069157,25.476370851313302,25.44078890470111
2024-03-20,60.95578213962828,25.812613364511126,25.576998903862275,25.549285199491482
2024-03-21,62.5141949378437,25.992138207327287,25.655126413889526,25.66840089477801
2024-03-22,57.461990018257815,26.05720398781323,25.62737280269776,25.733315095275344
2024-03-25,59.348928425262926,26.154075990029007,25.69568458291829,25.814904133820548
2024-03-26,58.996636648958805,26.227880355478277,25.763231187568238,25.885865644885257
2024-03-27,62.584358468848635,26.370083927209496,25.878238615210915,25.992926059658092
2024-03-28,62.81793339970313,26.491886849535042,25.96725647699144,26.092647387309704
2024-04-01,56.261723662453484,26.49699833143776,26.075731691102398,26.13334763613735
2024-04-02,46.760900166280955,26.330271362085433,26.100835227379694,26.080647861267128
2024-04-03,48.55250324464625,26.22658565988808,26.150204826284007,26.050109969717877
2024-04-04,42.035730210932584,26.00175190354479,26.13043889407002,25.94914711545903
2024-04-05,42.035730210932584,25.81779701199119,26.117743705291122,25.8577997711296
2024-04-08,47.45342122535011,25.760015737083698,26.10711694638235,25.82372360245059
2024-04-09,45.30733045790108,25.669103784886662,26.082765198249053,25.770035640312436
2024-04-10,37.22445137024593,25.400175823998175,25.973301068528926,25.619556055520775
2024-04-11,42.39600597832038,25.271052946907595,25.908985705910567,25.53102690737594
2024-04-12,39.26112851644959,25.083588774742577,25.890665476619773,25.408071963816326
2024-04-15,38.11454048536401,24.89929990660756,25.84630559482218,25.280636538690963
2024-04-16,35.92148980861859,24.688518105406185,25.786671328011792,25.133909249291825
2024-04-17,33.295665228726605,24.439696631695966,25.684255450037426,24.961155987454507
2024-04-18,36.28141162345086,24.281569971387608,25.481557935264302,24.82866494103027
2024-04-19,41.159901213848336,24.230375431135315,25.289626225782555,24.749744470455955
2024-04-22,50.06473420942322,24.35757989820162,25.196879968149187,24.766911663745866
2024-04-23,52.16067575203179,24.507110825801323,25.11540440367773,24.80625341005578
2024-04-24,54.15026992139662,24.673090675655626,25.05308715460951,24.864705466240945
2024-04-25,47.81486744996784,24.679801461900055,24.919009130464893,24.849971612313233
2024-04-26,49.68975674941738,24.723473923372772,24.820874608047003,24.856640982569118
2024-04-29,58.674307654520874,24.97375139185045,24.788357426640303,24.975056127086347
2024-04-30,54.09010507376029,25.083978411514003,24.814037883246705,25.0326698292686
2024-05-01,55.73736549173653,25.215982336693273,24.8157969715991,25.10670127410016
2024-05-02,54.27835154416982,25.294894639112677,24.916949671680843,25.158444009900144
2024-05-03,56.93405588733473,25.42309561381946,24.986413610935244,25.238592199433462
2024-05-06,54.40595573655911,25.48071459312501,25.003686568044756,25.286345323296942
2024-05-07,52.662513452571574,25.495130121647737,25.023476009367947,25.312407673459138
2024-05-08,52.56174071683383,25.505106463166328,25.153729015206743,25.335035514082076
2024-05-09,58.985345321202374,25.651450742590633,25.219667468386092,25.427889274645686
2024-05-10,55.8761661794676,25.718459698483244,25.29386008433515,25.48428077229848
2024-05-13,59.95247713712692,25.867830662395377,25.411469560618674,25.584825460651004
